name,id,ra,dec,z_spec_or_phot,x_Mpc,y_Mpc,z_Mpc,note,survey
UNCOVER-18,18,3.5908,-30.4673,6.2996,7354.2089,461.4997,-4334.8166,filament candidate,UNCOVER
UNCOVER-22,22,3.6116,-30.4672,5.0542,6860.3351,433.005,-4043.7959,filament candidate,UNCOVER
UNCOVER-94,94,3.5913,-30.467,5.8338,7185.3164,450.9707,-4235.2263,filament candidate,UNCOVER
UNCOVER-131,131,3.6392,-30.4668,6.3497,7371.0322,468.8028,-4344.8863,filament candidate,UNCOVER
UNCOVER-163,163,3.6222,-30.4668,7.1252,7616.9843,482.1774,-4489.7657,filament candidate,UNCOVER
UNCOVER-200,200,3.5871,-30.4666,5.8399,7187.7098,450.5897,-4236.545,filament candidate,UNCOVER
UNCOVER-204,204,3.5851,-30.4666,5.3516,6991.5006,438.0418,-4120.8904,filament candidate,UNCOVER
UNCOVER-218,218,3.5961,-30.4665,7.8194,7809.2367,490.7789,-4602.9141,filament candidate,UNCOVER
UNCOVER-219,219,3.5919,-30.4666,6.6357,7466.4204,468.6839,-4400.8418,filament candidate,UNCOVER
UNCOVER-220,220,3.5917,-30.4666,6.8968,7548.6294,473.8237,-4449.29,filament candidate,UNCOVER
UNCOVER-271,271,3.6259,-30.4663,5.4678,7039.8791,446.1106,-4149.5444,filament candidate,UNCOVER
UNCOVER-291,291,3.638,-30.4664,5.0268,6847.6748,435.3756,-4036.3152,filament candidate,UNCOVER
UNCOVER-299,299,3.6022,-30.4664,7.5831,7746.4488,487.6582,-4565.9197,filament candidate,UNCOVER
UNCOVER-301,301,3.6466,-30.4662,6.5303,7431.6261,473.623,-4380.5265,filament candidate,UNCOVER
UNCOVER-334,334,3.591,-30.4661,6.3275,7363.9109,462.1333,-4340.322,filament candidate,UNCOVER
UNCOVER-353,353,3.6345,-30.466,5.097,6879.6974,436.998,-4055.1054,filament candidate,UNCOVER
UNCOVER-391,391,3.6451,-30.4658,6.158,7304.2891,465.3166,-4305.3929,filament candidate,UNCOVER
UNCOVER-397,397,3.6019,-30.4658,6.3128,7358.7709,463.2231,-4337.3017,filament candidate,UNCOVER
UNCOVER-399,399,3.6452,-30.4658,6.0711,7273.1008,463.3481,-4287.0079,filament candidate,UNCOVER
UNCOVER-406,406,3.6471,-30.4657,5.1227,6891.1472,439.2453,-4061.8723,filament candidate,UNCOVER
UNCOVER-409,409,3.6449,-30.4657,6.1133,7288.3086,464.2735,-4295.9564,filament candidate,UNCOVER
UNCOVER-421,421,3.6072,-30.4657,7.56,7740.1952,487.9463,-4562.1177,filament candidate,UNCOVER
UNCOVER-423,423,3.6472,-30.4657,9.6694,8225.7983,524.3335,-4848.5461,filament candidate,UNCOVER
UNCOVER-433,433,3.589,-30.4657,6.9313,7559.2668,474.1302,-4455.3879,filament candidate,UNCOVER
UNCOVER-441,441,3.645,-30.4656,5.5651,7079.5602,450.9923,-4172.8984,filament candidate,UNCOVER
UNCOVER-444,444,3.5943,-30.4658,6.684,7481.9956,469.9859,-4409.8889,filament candidate,UNCOVER
UNCOVER-456,456,3.6183,-30.4656,7.5805,7745.6618,489.8039,-4565.3837,filament candidate,UNCOVER
UNCOVER-460,460,3.637,-30.4657,5.8094,7175.744,456.1173,-4229.5661,filament candidate,UNCOVER
UNCOVER-472,472,3.6451,-30.4655,7.0629,7598.4369,484.061,-4478.7236,filament candidate,UNCOVER
UNCOVER-514,514,3.6425,-30.4655,6.5701,7444.7883,473.9266,-4388.14,filament candidate,UNCOVER
UNCOVER-520,520,3.6033,-30.4654,6.4198,7395.2185,465.7014,-4358.7232,filament candidate,UNCOVER
UNCOVER-546,546,3.6451,-30.4652,7.2995,7667.3515,488.4484,-4519.2896,filament candidate,UNCOVER
UNCOVER-577,577,3.6092,-30.4658,5.1593,6907.8018,435.7124,-4071.5248,filament candidate,UNCOVER
UNCOVER-591,591,3.6027,-30.4651,7.3413,7679.6024,483.5183,-4526.2823,filament candidate,UNCOVER
UNCOVER-616,616,3.6303,-30.4651,9.298,8151.3896,517.1705,-4804.4818,filament candidate,UNCOVER
UNCOVER-634,634,3.648,-30.465,8.4235,7958.4675,507.3977,-4690.8523,filament candidate,UNCOVER
UNCOVER-700,700,3.5841,-30.4648,5.9298,7221.7602,452.3435,-4256.2871,filament candidate,UNCOVER
UNCOVER-715,715,3.6268,-30.4647,5.1512,6904.1214,437.6096,-4069.2675,filament candidate,UNCOVER
UNCOVER-731,731,3.6205,-30.4647,6.5856,7450.0832,471.3967,-4391.014,filament candidate,UNCOVER
UNCOVER-734,734,3.5837,-30.4646,6.043,7263.4863,454.9058,-4280.8535,filament candidate,UNCOVER
UNCOVER-752,752,3.6477,-30.4645,6.9094,7552.1778,481.4587,-4451.2985,filament candidate,UNCOVER
UNCOVER-756,756,3.6478,-30.4645,7.0787,7603.2013,484.7238,-4481.3694,filament candidate,UNCOVER
UNCOVER-785,785,3.6477,-30.4645,7.3909,7693.2202,490.4523,-4534.4165,filament candidate,UNCOVER
UNCOVER-788,788,3.6045,-30.4645,9.5237,8197.49,516.3941,-4831.4121,filament candidate,UNCOVER
UNCOVER-831,831,3.6013,-30.4643,6.6135,7459.3489,469.4769,-4396.3194,filament candidate,UNCOVER
UNCOVER-832,832,3.6009,-30.4643,6.1158,7289.6898,458.742,-4296.3264,filament candidate,UNCOVER
UNCOVER-865,865,3.5862,-30.4642,5.2349,6941.3892,435.0326,-4090.9606,filament candidate,UNCOVER
UNCOVER-866,866,3.6474,-30.4642,5.3379,6985.3581,445.2866,-4117.149,filament candidate,UNCOVER
UNCOVER-867,867,3.647,-30.4642,7.0024,7580.4375,483.1689,-4467.8838,filament candidate,UNCOVER
UNCOVER-883,883,3.6172,-30.4642,5.7551,7155.1066,452.3135,-4217.0585,filament candidate,UNCOVER
UNCOVER-937,937,3.6161,-30.464,6.2354,7331.952,463.3593,-4321.248,filament candidate,UNCOVER
UNCOVER-1001,1001,3.648,-30.4637,6.913,7553.3364,481.5723,-4451.8272,filament candidate,UNCOVER
UNCOVER-1012,1012,3.6355,-30.4637,5.152,6904.485,438.6851,-4069.3455,filament candidate,UNCOVER
UNCOVER-1035,1035,3.5879,-30.4635,7.5292,7732.1137,484.8301,-4556.8697,filament candidate,UNCOVER
UNCOVER-1046,1046,3.6055,-30.4635,8.2153,7909.086,498.366,-4661.2534,filament candidate,UNCOVER
UNCOVER-1054,1054,3.6183,-30.4635,5.1268,6893.3903,435.9022,-4062.6953,filament candidate,UNCOVER
UNCOVER-1089,1089,3.6052,-30.4633,5.7881,7168.012,451.622,-4224.4659,filament candidate,UNCOVER
UNCOVER-1097,1097,3.5909,-30.4633,5.2445,6945.592,435.8754,-4093.3129,filament candidate,UNCOVER
UNCOVER-1101,1101,3.6058,-30.4633,5.932,7222.5129,455.1329,-4256.5827,filament candidate,UNCOVER
UNCOVER-1122,1122,3.5862,-30.4632,9.1417,8119.312,508.8593,-4784.9874,filament candidate,UNCOVER
UNCOVER-1153,1153,3.6451,-30.4631,5.1001,6881.204,438.3632,-4055.5687,filament candidate,UNCOVER
UNCOVER-1171,1171,3.6169,-30.463,5.2965,6967.969,440.4534,-4106.5689,filament candidate,UNCOVER
UNCOVER-1178,1178,3.6087,-30.463,5.1011,6881.9333,434.021,-4055.8241,filament candidate,UNCOVER
UNCOVER-1228,1228,3.6445,-30.4627,5.8992,7209.9639,459.2344,-4249.2751,filament candidate,UNCOVER
UNCOVER-1272,1272,3.5857,-30.4626,6.267,7343.3175,460.1604,-4327.5669,filament candidate,UNCOVER
UNCOVER-1283,1283,3.6035,-30.4626,6.0847,7278.6026,458.3763,-4289.501,filament candidate,UNCOVER
UNCOVER-1298,1298,3.6283,-30.4625,6.0335,7259.8289,460.3464,-4278.5505,filament candidate,UNCOVER
UNCOVER-1323,1323,3.6033,-30.4624,6.5999,7455.0458,469.4582,-4393.4544,filament candidate,UNCOVER
UNCOVER-1331,1331,3.6193,-30.4624,8.0851,7876.9944,498.2455,-4642.1948,filament candidate,UNCOVER
UNCOVER-1352,1352,3.5842,-30.4623,7.3323,7677.4408,480.8995,-4524.4014,filament candidate,UNCOVER
